Occupation Group,Occupation Group Definition,Occupation,Occupation Definition,Rurality,Year,Supply,Fewer Graduates,More Graduates,Retire Early,Retire Late,Demand,Increased Insurance Coverage,Improved Population Health,Racial Equity,Improved Access (combination scenario),Geographic Parity,Percent Adequacy
Long-Term Care,"Long Term Services and Supports includes long term assistance with activities of daily living (e.g., bathing, dressing, eating) and instrumental activities of daily living (e.g., meal preparation, medication and money management) provided in homes.",Registered Nurses,"Assess patient health problems and needs, develop and implement nursing care plans, and maintain medical records. Administer nursing care to ill, injured, convalescent, or disabled patients. May advise patients on health maintenance and disease prevention or provide case management.",Total,2026,,,,,,569590,,606910,,,,N/A
Long-Term Care,"Long Term Services and Supports includes long term assistance with activities of daily living (e.g., bathing, dressing, eating) and instrumental activities of daily living (e.g., meal preparation, medication and money management) provided in homes.",Registered Nurses,"Assess patient health problems and needs, develop and implement nursing care plans, and maintain medical records. Administer nursing care to ill, injured, convalescent, or disabled patients. May advise patients on health maintenance and disease prevention or provide case management.",Total,2027,,,,,,587020,,625760,,,,N/A
Long-Term Care,"Long Term Services and Supports includes long term assistance with activities of daily living (e.g., bathing, dressing, eating) and instrumental activities of daily living (e.g., meal preparation, medication and money management) provided in homes.",Registered Nurses,"Assess patient health problems and needs, develop and implement nursing care plans, and maintain medical records. Administer nursing care to ill, injured, convalescent, or disabled patients. May advise patients on health maintenance and disease prevention or provide case management.",Total,2028,,,,,,605580,,647310,,,,N/A
Long-Term Care,"Long Term Services and Supports includes long term assistance with activities of daily living (e.g., bathing, dressing, eating) and instrumental activities of daily living (e.g., meal preparation, medication and money management) provided in homes.",Registered Nurses,"Assess patient health problems and needs, develop and implement nursing care plans, and maintain medical records. Administer nursing care to ill, injured, convalescent, or disabled patients. May advise patients on health maintenance and disease prevention or provide case management.",Total,2029,,,,,,622450,,671180,,,,N/A
Long-Term Care,"Long Term Services and Supports includes long term assistance with activities of daily living (e.g., bathing, dressing, eating) and instrumental activities of daily living (e.g., meal preparation, medication and money management) provided in homes.",Registered Nurses,"Assess patient health problems and needs, develop and implement nursing care plans, and maintain medical records. Administer nursing care to ill, injured, convalescent, or disabled patients. May advise patients on health maintenance and disease prevention or provide case management.",Total,2030,,,,,,638810,,688600,,,,N/A
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Dental Hygienists,"Licensed oral health care professionals who clean teeth, examine patients for signs of oral diseases such as gingivitis, and provide other preventive dental care.",Total,2017,"147,470",147470,147470,147470,147470,"147,470",,,,,,100%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Dental Hygienists,"Licensed oral health care professionals who clean teeth, examine patients for signs of oral diseases such as gingivitis, and provide other preventive dental care.",Total,2018,"149,740",149170,150310,149210,149880,"148,100",,,,,,101%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Dental Hygienists,"Licensed oral health care professionals who clean teeth, examine patients for signs of oral diseases such as gingivitis, and provide other preventive dental care.",Total,2019,"152,600",151470,153740,151300,153410,"148,870",,,,,,103%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Dental Hygienists,"Licensed oral health care professionals who clean teeth, examine patients for signs of oral diseases such as gingivitis, and provide other preventive dental care.",Total,2020,"155,270",153570,156960,153320,156720,"149,710",,,,,,104%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Dental Hygienists,"Licensed oral health care professionals who clean teeth, examine patients for signs of oral diseases such as gingivitis, and provide other preventive dental care.",Total,2021,"157,790",155520,160060,155200,159860,"150,520",,,,,,105%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Dental Hygienists,"Licensed oral health care professionals who clean teeth, examine patients for signs of oral diseases such as gingivitis, and provide other preventive dental care.",Total,2022,"160,140",157310,162960,156980,162820,"151,270",,,,,,106%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Dental Hygienists,"Licensed oral health care professionals who clean teeth, examine patients for signs of oral diseases such as gingivitis, and provide other preventive dental care.",Total,2023,"162,500",159110,165900,158790,165720,"152,040",,,,,,107%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Dental Hygienists,"Licensed oral health care professionals who clean teeth, examine patients for signs of oral diseases such as gingivitis, and provide other preventive dental care.",Total,2024,"164,690",160730,168620,160500,168290,"152,820",,,,,,108%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Dental Hygienists,"Licensed oral health care professionals who clean teeth, examine patients for signs of oral diseases such as gingivitis, and provide other preventive dental care.",Total,2025,"166,830",162340,171330,162390,170860,"153,600",,,,,,109%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Dental Hygienists,"Licensed oral health care professionals who clean teeth, examine patients for signs of oral diseases such as gingivitis, and provide other preventive dental care.",Total,2026,"168,870",163800,173920,164030,173260,"154,370",,,,,,109%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Dental Hygienists,"Licensed oral health care professionals who clean teeth, examine patients for signs of oral diseases such as gingivitis, and provide other preventive dental care.",Total,2027,"170,880",165270,176500,165680,175490,"155,140",,,,,,110%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Dental Hygienists,"Licensed oral health care professionals who clean teeth, examine patients for signs of oral diseases such as gingivitis, and provide other preventive dental care.",Total,2028,"172,840",166680,179000,167340,177760,"155,870",,,,,,111%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Dental Hygienists,"Licensed oral health care professionals who clean teeth, examine patients for signs of oral diseases such as gingivitis, and provide other preventive dental care.",Total,2029,"174,690",167990,181390,169010,180060,"156,570",,,,,,112%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Dental Hygienists,"Licensed oral health care professionals who clean teeth, examine patients for signs of oral diseases such as gingivitis, and provide other preventive dental care.",Total,2030,"176,660",169400,183890,170770,182210,"157,240",,,,,,112%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Endodontists,"Perform root canal therapy, removing the nerves and blood supply from injured or infected teeth.",Total,2017,"5,390",5390,5390,5390,5390,"5,390",,,,,,100%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Endodontists,"Perform root canal therapy, removing the nerves and blood supply from injured or infected teeth.",Total,2018,"5,430",5410,5450,5410,5450,"5,420",,,,,,100%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Endodontists,"Perform root canal therapy, removing the nerves and blood supply from injured or infected teeth.",Total,2019,"5,510",5470,5550,5450,5550,"5,450",,,,,,101%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Endodontists,"Perform root canal therapy, removing the nerves and blood supply from injured or infected teeth.",Total,2020,"5,570",5510,5630,5490,5640,"5,490",,,,,,101%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Endodontists,"Perform root canal therapy, removing the nerves and blood supply from injured or infected teeth.",Total,2021,"5,640",5560,5720,5550,5730,"5,520",,,,,,102%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Endodontists,"Perform root canal therapy, removing the nerves and blood supply from injured or infected teeth.",Total,2022,"5,710",5610,5810,5600,5800,"5,540",,,,,,103%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Endodontists,"Perform root canal therapy, removing the nerves and blood supply from injured or infected teeth.",Total,2023,"5,790",5670,5910,5660,5890,"5,570",,,,,,104%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Endodontists,"Perform root canal therapy, removing the nerves and blood supply from injured or infected teeth.",Total,2024,"5,860",5720,6000,5710,5970,"5,600",,,,,,105%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Endodontists,"Perform root canal therapy, removing the nerves and blood supply from injured or infected teeth.",Total,2025,"5,930",5780,6090,5780,6070,"5,630",,,,,,105%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Endodontists,"Perform root canal therapy, removing the nerves and blood supply from injured or infected teeth.",Total,2026,"6,000",5820,6180,5830,6150,"5,660",,,,,,106%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Endodontists,"Perform root canal therapy, removing the nerves and blood supply from injured or infected teeth.",Total,2027,"6,080",5880,6280,5890,6230,"5,680",,,,,,107%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Endodontists,"Perform root canal therapy, removing the nerves and blood supply from injured or infected teeth.",Total,2028,"6,150",5940,6370,5950,6320,"5,710",,,,,,108%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Endodontists,"Perform root canal therapy, removing the nerves and blood supply from injured or infected teeth.",Total,2029,"6,220",5980,6460,6000,6400,"5,730",,,,,,109%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Endodontists,"Perform root canal therapy, removing the nerves and blood supply from injured or infected teeth.",Total,2030,"6,300",6030,6550,6060,6470,"5,750",,,,,,110%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,General Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity.",Total,2017,"151,170",151170,151170,151170,151170,"151,170",,,,,,100%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,General Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity.",Total,2018,"152,050",151650,152440,151580,152170,"152,250",,,,,,100%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,General Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity.",Total,2019,"153,000",152210,153800,151780,153220,"153,410",,,,,,100%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,General Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity.",Total,2020,"153,930",152730,155140,152030,154650,"154,620",,,,,,100%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,General Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity.",Total,2021,"154,720",153090,156360,152230,155970,"155,790",,,,,,99%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,General Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity.",Total,2022,"155,440",153390,157510,152410,157290,"156,900",,,,,,99%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,General Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity.",Total,2023,"156,090",153590,158580,152600,158380,"158,020",,,,,,99%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,General Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity.",Total,2024,"156,660",153740,159580,152770,159330,"159,130",,,,,,98%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,General Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity.",Total,2025,"157,250",153910,160600,153050,160230,"160,280",,,,,,98%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,General Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity.",Total,2026,"157,850",154080,161630,153350,161150,"161,380",,,,,,98%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,General Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity.",Total,2027,"158,510",154330,162700,153770,162100,"162,450",,,,,,98%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,General Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity.",Total,2028,"159,170",154560,163780,154300,163110,"163,470",,,,,,97%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,General Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity.",Total,2029,"159,890",154860,164910,154870,163980,"164,430",,,,,,97%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,General Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity.",Total,2030,"160,680",155220,166130,155480,164920,"165,490",,,,,,97%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Oral Surgeons,"Perform surgery and related procedures on the hard and soft tissues of the oral and maxillofacial regions to treat diseases, injuries, or defects. May diagnose problems of the oral and maxillofacial regions. May perform surgery to improve function or appearance.",Total,2017,"7,070",7070,7070,7070,7070,"7,070",,,,,,100%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Oral Surgeons,"Perform surgery and related procedures on the hard and soft tissues of the oral and maxillofacial regions to treat diseases, injuries, or defects. May diagnose problems of the oral and maxillofacial regions. May perform surgery to improve function or appearance.",Total,2018,"7,130",7100,7150,7090,7170,"7,100",,,,,,100%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Oral Surgeons,"Perform surgery and related procedures on the hard and soft tissues of the oral and maxillofacial regions to treat diseases, injuries, or defects. May diagnose problems of the oral and maxillofacial regions. May perform surgery to improve function or appearance.",Total,2019,"7,200",7150,7250,7120,7240,"7,150",,,,,,101%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Oral Surgeons,"Perform surgery and related procedures on the hard and soft tissues of the oral and maxillofacial regions to treat diseases, injuries, or defects. May diagnose problems of the oral and maxillofacial regions. May perform surgery to improve function or appearance.",Total,2020,"7,260",7180,7330,7150,7320,"7,200",,,,,,101%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Oral Surgeons,"Perform surgery and related procedures on the hard and soft tissues of the oral and maxillofacial regions to treat diseases, injuries, or defects. May diagnose problems of the oral and maxillofacial regions. May perform surgery to improve function or appearance.",Total,2021,"7,320",7220,7430,7180,7420,"7,250",,,,,,101%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Oral Surgeons,"Perform surgery and related procedures on the hard and soft tissues of the oral and maxillofacial regions to treat diseases, injuries, or defects. May diagnose problems of the oral and maxillofacial regions. May perform surgery to improve function or appearance.",Total,2022,"7,390",7260,7520,7220,7510,"7,290",,,,,,101%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Oral Surgeons,"Perform surgery and related procedures on the hard and soft tissues of the oral and maxillofacial regions to treat diseases, injuries, or defects. May diagnose problems of the oral and maxillofacial regions. May perform surgery to improve function or appearance.",Total,2023,"7,460",7310,7620,7280,7610,"7,330",,,,,,102%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Oral Surgeons,"Perform surgery and related procedures on the hard and soft tissues of the oral and maxillofacial regions to treat diseases, injuries, or defects. May diagnose problems of the oral and maxillofacial regions. May perform surgery to improve function or appearance.",Total,2024,"7,520",7350,7700,7320,7700,"7,370",,,,,,102%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Oral Surgeons,"Perform surgery and related procedures on the hard and soft tissues of the oral and maxillofacial regions to treat diseases, injuries, or defects. May diagnose problems of the oral and maxillofacial regions. May perform surgery to improve function or appearance.",Total,2025,"7,600",7400,7810,7380,7800,"7,410",,,,,,103%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Oral Surgeons,"Perform surgery and related procedures on the hard and soft tissues of the oral and maxillofacial regions to treat diseases, injuries, or defects. May diagnose problems of the oral and maxillofacial regions. May perform surgery to improve function or appearance.",Total,2026,"7,680",7450,7900,7440,7880,"7,450",,,,,,103%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Oral Surgeons,"Perform surgery and related procedures on the hard and soft tissues of the oral and maxillofacial regions to treat diseases, injuries, or defects. May diagnose problems of the oral and maxillofacial regions. May perform surgery to improve function or appearance.",Total,2027,"7,750",7500,8000,7490,7960,"7,480",,,,,,104%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Oral Surgeons,"Perform surgery and related procedures on the hard and soft tissues of the oral and maxillofacial regions to treat diseases, injuries, or defects. May diagnose problems of the oral and maxillofacial regions. May perform surgery to improve function or appearance.",Total,2028,"7,820",7550,8100,7550,8050,"7,520",,,,,,104%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Oral Surgeons,"Perform surgery and related procedures on the hard and soft tissues of the oral and maxillofacial regions to treat diseases, injuries, or defects. May diagnose problems of the oral and maxillofacial regions. May perform surgery to improve function or appearance.",Total,2029,"7,890",7590,8200,7620,8130,"7,550",,,,,,105%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Oral Surgeons,"Perform surgery and related procedures on the hard and soft tissues of the oral and maxillofacial regions to treat diseases, injuries, or defects. May diagnose problems of the oral and maxillofacial regions. May perform surgery to improve function or appearance.",Total,2030,"7,960",7630,8280,7690,8210,"7,590",,,,,,105%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Orthodontists,"Examine, diagnose, and treat dental malocclusions and oral cavity anomalies. Design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and to improve appearance.",Total,2017,"9,990",9990,9990,9990,9990,"9,990",,,,,,100%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Orthodontists,"Examine, diagnose, and treat dental malocclusions and oral cavity anomalies. Design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and to improve appearance.",Total,2018,"10,130",10090,10160,10080,10140,"9,920",,,,,,102%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Orthodontists,"Examine, diagnose, and treat dental malocclusions and oral cavity anomalies. Design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and to improve appearance.",Total,2019,"10,260",10190,10330,10160,10280,"9,900",,,,,,104%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Orthodontists,"Examine, diagnose, and treat dental malocclusions and oral cavity anomalies. Design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and to improve appearance.",Total,2020,"10,370",10270,10480,10250,10440,"9,930",,,,,,104%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Orthodontists,"Examine, diagnose, and treat dental malocclusions and oral cavity anomalies. Design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and to improve appearance.",Total,2021,"10,500",10360,10640,10340,10590,"9,940",,,,,,106%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Orthodontists,"Examine, diagnose, and treat dental malocclusions and oral cavity anomalies. Design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and to improve appearance.",Total,2022,"10,630",10460,10810,10430,10750,"9,910",,,,,,107%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Orthodontists,"Examine, diagnose, and treat dental malocclusions and oral cavity anomalies. Design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and to improve appearance.",Total,2023,"10,750",10530,10960,10510,10900,"9,890",,,,,,109%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Orthodontists,"Examine, diagnose, and treat dental malocclusions and oral cavity anomalies. Design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and to improve appearance.",Total,2024,"10,880",10630,11130,10620,11050,"9,870",,,,,,110%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Orthodontists,"Examine, diagnose, and treat dental malocclusions and oral cavity anomalies. Design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and to improve appearance.",Total,2025,"11,000",10720,11290,10720,11210,"9,840",,,,,,112%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Orthodontists,"Examine, diagnose, and treat dental malocclusions and oral cavity anomalies. Design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and to improve appearance.",Total,2026,"11,130",10810,11440,10820,11320,"9,810",,,,,,113%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Orthodontists,"Examine, diagnose, and treat dental malocclusions and oral cavity anomalies. Design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and to improve appearance.",Total,2027,"11,250",10900,11600,10940,11470,"9,820",,,,,,115%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Orthodontists,"Examine, diagnose, and treat dental malocclusions and oral cavity anomalies. Design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and to improve appearance.",Total,2028,"11,370",10990,11760,11060,11620,"9,840",,,,,,116%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Orthodontists,"Examine, diagnose, and treat dental malocclusions and oral cavity anomalies. Design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and to improve appearance.",Total,2029,"11,500",11080,11920,11170,11770,"9,850",,,,,,117%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Orthodontists,"Examine, diagnose, and treat dental malocclusions and oral cavity anomalies. Design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and to improve appearance.",Total,2030,"11,610",11180,12090,11300,11910,"9,890",,,,,,117%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Other Dentists,All dentists not listed separately. ,Total,2017,"4,090",4090,4090,4090,4090,"4,090",,,,,,100%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Other Dentists,All dentists not listed separately. ,Total,2018,"4,140",4120,4160,4130,4150,"4,120",,,,,,100%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Other Dentists,All dentists not listed separately. ,Total,2019,"4,190",4160,4230,4160,4210,"4,150",,,,,,101%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Other Dentists,All dentists not listed separately. ,Total,2020,"4,250",4190,4300,4190,4290,"4,190",,,,,,101%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Other Dentists,All dentists not listed separately. ,Total,2021,"4,320",4240,4390,4240,4380,"4,230",,,,,,102%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Other Dentists,All dentists not listed separately. ,Total,2022,"4,370",4280,4460,4280,4440,"4,270",,,,,,102%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Other Dentists,All dentists not listed separately. ,Total,2023,"4,430",4320,4540,4320,4520,"4,310",,,,,,103%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Other Dentists,All dentists not listed separately. ,Total,2024,"4,490",4360,4610,4380,4580,"4,350",,,,,,103%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Other Dentists,All dentists not listed separately. ,Total,2025,"4,560",4410,4700,4440,4680,"4,390",,,,,,104%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Other Dentists,All dentists not listed separately. ,Total,2026,"4,610",4460,4780,4480,4730,"4,420",,,,,,104%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Other Dentists,All dentists not listed separately. ,Total,2027,"4,700",4520,4880,4560,4820,"4,460",,,,,,105%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Other Dentists,All dentists not listed separately. ,Total,2028,"4,770",4570,4970,4620,4900,"4,500",,,,,,106%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Other Dentists,All dentists not listed separately. ,Total,2029,"4,850",4630,5060,4690,4990,"4,540",,,,,,107%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Other Dentists,All dentists not listed separately. ,Total,2030,"4,920",4680,5150,4760,5060,"4,580",,,,,,107%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Pediatric Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity, specifically with children and adolescents.",Total,2017,"7,320",7320,7320,7320,7320,"7,320",,,,,,100%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Pediatric Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity, specifically with children and adolescents.",Total,2018,"7,620",7570,7660,7590,7630,"7,310",,,,,,104%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Pediatric Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity, specifically with children and adolescents.",Total,2019,"7,900",7820,7980,7840,7940,"7,300",,,,,,108%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Pediatric Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity, specifically with children and adolescents.",Total,2020,"8,170",8040,8290,8090,8230,"7,320",,,,,,112%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Pediatric Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity, specifically with children and adolescents.",Total,2021,"8,440",8270,8610,8340,8520,"7,330",,,,,,115%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Pediatric Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity, specifically with children and adolescents.",Total,2022,"8,720",8510,8930,8610,8820,"7,340",,,,,,119%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Pediatric Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity, specifically with children and adolescents.",Total,2023,"8,990",8740,9250,8870,9100,"7,350",,,,,,122%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Pediatric Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity, specifically with children and adolescents.",Total,2024,"9,280",8990,9580,9150,9400,"7,360",,,,,,126%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Pediatric Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity, specifically with children and adolescents.",Total,2025,"9,570",9240,9910,9430,9700,"7,370",,,,,,130%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Pediatric Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity, specifically with children and adolescents.",Total,2026,"9,850",9480,10220,9690,9990,"7,380",,,,,,133%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Pediatric Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity, specifically with children and adolescents.",Total,2027,"10,150",9730,10560,9980,10290,"7,400",,,,,,137%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Pediatric Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity, specifically with children and adolescents.",Total,2028,"10,420",9970,10880,10250,10570,"7,410",,,,,,141%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Pediatric Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity, specifically with children and adolescents.",Total,2029,"10,710",10210,11200,10530,10860,"7,430",,,,,,144%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Pediatric Dentists,"Licensed oral health care providers who diagnose, treat and prevent oral diseases, and perform surgical procedures on the teeth, bone and soft tissues of the oral cavity, specifically with children and adolescents.",Total,2030,"10,970",10450,11520,10790,11150,"7,470",,,,,,147%
